#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.143690E+05 0.119871E+03
  0.135000E-01 0.116230E+05 0.107810E+03
  0.225000E-01 0.110260E+05 0.105005E+03
  0.315000E-01 0.132770E+05 0.115226E+03
  0.405000E-01 0.159040E+05 0.126111E+03
  0.495000E-01 0.171500E+05 0.130958E+03
  0.585000E-01 0.169350E+05 0.130135E+03
  0.675000E-01 0.166870E+05 0.129178E+03
  0.765000E-01 0.165100E+05 0.128491E+03
  0.855000E-01 0.156250E+05 0.125000E+03
  0.945000E-01 0.133790E+05 0.115668E+03
  0.103500E+00 0.113300E+05 0.106442E+03
  0.112500E+00 0.959800E+04 0.979694E+02
  0.121500E+00 0.842600E+04 0.917932E+02
  0.130500E+00 0.726000E+04 0.852056E+02
  0.139500E+00 0.580700E+04 0.762037E+02
  0.148500E+00 0.458500E+04 0.677126E+02
  0.157500E+00 0.427000E+04 0.653452E+02
  0.166500E+00 0.373100E+04 0.610819E+02
  0.175500E+00 0.329700E+04 0.574195E+02
  0.184500E+00 0.313200E+04 0.559643E+02
  0.193500E+00 0.272700E+04 0.522207E+02
  0.202500E+00 0.213100E+04 0.461628E+02
  0.211500E+00 0.172900E+04 0.415812E+02
  0.220500E+00 0.127500E+04 0.357071E+02
  0.229500E+00 0.106500E+04 0.326343E+02
  0.238500E+00 0.111000E+04 0.333167E+02
  0.247500E+00 0.866000E+03 0.294279E+02
  0.256500E+00 0.736000E+03 0.271293E+02
  0.265500E+00 0.861000E+03 0.293428E+02
  0.274500E+00 0.788000E+03 0.280713E+02
  0.283500E+00 0.761000E+03 0.275862E+02
  0.292500E+00 0.813000E+03 0.285132E+02
  0.301500E+00 0.648000E+03 0.254558E+02
  0.310500E+00 0.472000E+03 0.217256E+02
  0.319500E+00 0.396000E+03 0.198997E+02
  0.328500E+00 0.493000E+03 0.222036E+02
  0.337500E+00 0.413000E+03 0.203224E+02
  0.346500E+00 0.269000E+03 0.164012E+02
  0.355500E+00 0.257000E+03 0.160312E+02
  0.364500E+00 0.328000E+03 0.181108E+02
  0.373500E+00 0.398000E+03 0.199499E+02
  0.382500E+00 0.458000E+03 0.214009E+02
  0.391500E+00 0.425000E+03 0.206155E+02
  0.400500E+00 0.353000E+03 0.187883E+02
  0.409500E+00 0.262000E+03 0.161864E+02
  0.418500E+00 0.186000E+03 0.136382E+02
  0.427500E+00 0.205000E+03 0.143178E+02
  0.436500E+00 0.261000E+03 0.161555E+02
  0.445500E+00 0.266000E+03 0.163095E+02
  0.454500E+00 0.297000E+03 0.172337E+02
  0.463500E+00 0.315000E+03 0.177482E+02
  0.472500E+00 0.295000E+03 0.171756E+02
  0.481500E+00 0.328000E+03 0.181108E+02
