#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.624900E+04 0.790506E+02
  0.135000E-01 0.492300E+04 0.701641E+02
  0.225000E-01 0.448400E+04 0.669627E+02
  0.315000E-01 0.562600E+04 0.750067E+02
  0.405000E-01 0.636200E+04 0.797621E+02
  0.495000E-01 0.685500E+04 0.827949E+02
  0.585000E-01 0.686400E+04 0.828493E+02
  0.675000E-01 0.635800E+04 0.797371E+02
  0.765000E-01 0.582200E+04 0.763020E+02
  0.855000E-01 0.531700E+04 0.729178E+02
  0.945000E-01 0.492600E+04 0.701855E+02
  0.103500E+00 0.426000E+04 0.652687E+02
  0.112500E+00 0.366700E+04 0.605558E+02
  0.121500E+00 0.342800E+04 0.585491E+02
  0.130500E+00 0.335900E+04 0.579569E+02
  0.139500E+00 0.268600E+04 0.518266E+02
  0.148500E+00 0.218000E+04 0.466905E+02
  0.157500E+00 0.178100E+04 0.422019E+02
  0.166500E+00 0.156400E+04 0.395474E+02
  0.175500E+00 0.145900E+04 0.381969E+02
  0.184500E+00 0.123900E+04 0.351994E+02
  0.193500E+00 0.104900E+04 0.323883E+02
  0.202500E+00 0.988000E+03 0.314325E+02
  0.211500E+00 0.945000E+03 0.307409E+02
  0.220500E+00 0.830000E+03 0.288097E+02
  0.229500E+00 0.488000E+03 0.220907E+02
  0.238500E+00 0.215000E+03 0.146629E+02
  0.247500E+00 0.135000E+03 0.116190E+02
  0.256500E+00 0.144000E+03 0.120000E+02
  0.265500E+00 0.151000E+03 0.122882E+02
  0.274500E+00 0.167000E+03 0.129228E+02
  0.283500E+00 0.115000E+03 0.107238E+02
  0.292500E+00 0.470000E+02 0.685565E+01
  0.301500E+00 0.860000E+02 0.927362E+01
  0.310500E+00 0.178000E+03 0.133417E+02
  0.319500E+00 0.315000E+03 0.177482E+02
  0.328500E+00 0.390000E+03 0.197484E+02
  0.337500E+00 0.301000E+03 0.173494E+02
  0.346500E+00 0.200000E+03 0.141421E+02
  0.355500E+00 0.224000E+03 0.149666E+02
  0.364500E+00 0.172000E+03 0.131149E+02
  0.373500E+00 0.153000E+03 0.123693E+02
  0.382500E+00 0.145000E+03 0.120416E+02
  0.391500E+00 0.110000E+03 0.104881E+02
  0.400500E+00 0.100000E+03 0.100000E+02
  0.409500E+00 0.169000E+03 0.130000E+02
  0.418500E+00 0.288000E+03 0.169706E+02
  0.427500E+00 0.339000E+03 0.184120E+02
  0.436500E+00 0.404000E+03 0.200998E+02
  0.445500E+00 0.453000E+03 0.212838E+02
  0.454500E+00 0.502000E+03 0.224054E+02
  0.463500E+00 0.401000E+03 0.200250E+02
  0.472500E+00 0.238000E+03 0.154272E+02
  0.481500E+00 0.920000E+02 0.959166E+01
  0.490500E+00 0.370000E+02 0.608276E+01
  0.499500E+00 0.400000E+02 0.632456E+01
  0.508500E+00 0.490000E+02 0.700000E+01
  0.517500E+00 0.106000E+03 0.102956E+02
  0.526500E+00 0.129000E+03 0.113578E+02
  0.535500E+00 0.112000E+03 0.105830E+02
  0.544500E+00 0.880000E+02 0.938083E+01
  0.553500E+00 0.104000E+03 0.101980E+02
  0.562500E+00 0.171000E+03 0.130767E+02
  0.571500E+00 0.262000E+03 0.161864E+02
  0.580500E+00 0.193000E+03 0.138924E+02
  0.589500E+00 0.100000E+03 0.100000E+02
  0.598500E+00 0.580000E+02 0.761577E+01
  0.607500E+00 0.830000E+02 0.911043E+01
  0.616500E+00 0.117000E+03 0.108167E+02
  0.625500E+00 0.157000E+03 0.125300E+02
  0.634500E+00 0.101000E+03 0.100499E+02
  0.643500E+00 0.520000E+02 0.721110E+01
  0.652500E+00 0.105000E+03 0.102470E+02
  0.661500E+00 0.185000E+03 0.136015E+02
  0.670500E+00 0.259000E+03 0.160935E+02
  0.679500E+00 0.254000E+03 0.159374E+02
  0.688500E+00 0.305000E+03 0.174642E+02
  0.697500E+00 0.241000E+03 0.155242E+02
  0.706500E+00 0.192000E+03 0.138564E+02
  0.715500E+00 0.133000E+03 0.115326E+02
  0.724500E+00 0.103000E+03 0.101489E+02
  0.733500E+00 0.500000E+02 0.707107E+01
  0.742500E+00 0.310000E+02 0.556776E+01
  0.751500E+00 0.520000E+02 0.721110E+01
  0.760500E+00 0.100000E+03 0.100000E+02
  0.769500E+00 0.149000E+03 0.122066E+02
  0.778500E+00 0.133000E+03 0.115326E+02
  0.787500E+00 0.120000E+03 0.109545E+02
  0.796500E+00 0.198000E+03 0.140712E+02
  0.805500E+00 0.282000E+03 0.167929E+02
  0.814500E+00 0.363000E+03 0.190526E+02
  0.823500E+00 0.340000E+03 0.184391E+02
  0.832500E+00 0.331000E+03 0.181934E+02
  0.841500E+00 0.359000E+03 0.189473E+02
  0.850500E+00 0.332000E+03 0.182209E+02
  0.859500E+00 0.295000E+03 0.171756E+02
  0.868500E+00 0.301000E+03 0.173494E+02
  0.877500E+00 0.280000E+03 0.167332E+02
  0.886500E+00 0.305000E+03 0.174642E+02
  0.895500E+00 0.360000E+03 0.189737E+02
  0.904500E+00 0.379000E+03 0.194679E+02
  0.913500E+00 0.232000E+03 0.152315E+02
  0.922500E+00 0.163000E+03 0.127671E+02
  0.931500E+00 0.148000E+03 0.121655E+02
  0.940500E+00 0.261000E+03 0.161555E+02
  0.949500E+00 0.383000E+03 0.195704E+02
  0.958500E+00 0.550000E+03 0.234521E+02
  0.967500E+00 0.456000E+03 0.213542E+02
  0.976500E+00 0.307000E+03 0.175214E+02
  0.985500E+00 0.146000E+03 0.120830E+02
  0.994500E+00 0.700000E+02 0.836660E+01
  0.100350E+01 0.870000E+02 0.932738E+01
  0.101250E+01 0.960000E+02 0.979796E+01
  0.102150E+01 0.215000E+03 0.146629E+02
  0.103050E+01 0.202000E+03 0.142127E+02
  0.103950E+01 0.265000E+03 0.162788E+02
  0.104850E+01 0.292000E+03 0.170880E+02
  0.105750E+01 0.313000E+03 0.176918E+02
  0.106650E+01 0.334000E+03 0.182757E+02
  0.107550E+01 0.359000E+03 0.189473E+02
  0.108450E+01 0.290000E+03 0.170294E+02
  0.109350E+01 0.264000E+03 0.162481E+02
  0.110250E+01 0.266000E+03 0.163095E+02
  0.111150E+01 0.307000E+03 0.175214E+02
  0.112050E+01 0.402000E+03 0.200499E+02
  0.112950E+01 0.343000E+03 0.185203E+02
  0.113850E+01 0.307000E+03 0.175214E+02
  0.114750E+01 0.280000E+03 0.167332E+02
  0.115650E+01 0.356000E+03 0.188680E+02
  0.116550E+01 0.371000E+03 0.192614E+02
  0.117450E+01 0.416000E+03 0.203961E+02
  0.118350E+01 0.353000E+03 0.187883E+02
  0.119250E+01 0.243000E+03 0.155885E+02
  0.120150E+01 0.104000E+03 0.101980E+02
  0.121050E+01 0.470000E+02 0.685565E+01
  0.121950E+01 0.440000E+02 0.663325E+01
  0.122850E+01 0.106000E+03 0.102956E+02
  0.123750E+01 0.206000E+03 0.143527E+02
  0.124650E+01 0.252000E+03 0.158745E+02
  0.125550E+01 0.213000E+03 0.145945E+02
  0.126450E+01 0.247000E+03 0.157162E+02
  0.127350E+01 0.234000E+03 0.152971E+02
  0.128250E+01 0.285000E+03 0.168819E+02
  0.129150E+01 0.328000E+03 0.181108E+02
  0.130050E+01 0.302000E+03 0.173781E+02
  0.130950E+01 0.273000E+03 0.165227E+02
  0.131850E+01 0.277000E+03 0.166433E+02
  0.132750E+01 0.229000E+03 0.151327E+02
  0.133650E+01 0.310000E+03 0.176068E+02
  0.134550E+01 0.331000E+03 0.181934E+02
  0.135450E+01 0.430000E+03 0.207364E+02
  0.136350E+01 0.348000E+03 0.186548E+02
  0.137250E+01 0.315000E+03 0.177482E+02
  0.138150E+01 0.327000E+03 0.180831E+02
  0.139050E+01 0.311000E+03 0.176352E+02
  0.139950E+01 0.262000E+03 0.161864E+02
  0.140850E+01 0.204000E+03 0.142829E+02
  0.141750E+01 0.137000E+03 0.117047E+02
  0.142650E+01 0.720000E+02 0.848528E+01
  0.143550E+01 0.179000E+03 0.133791E+02
  0.144450E+01 0.227000E+03 0.150665E+02
  0.145350E+01 0.267000E+03 0.163401E+02
  0.146250E+01 0.217000E+03 0.147309E+02
  0.147150E+01 0.188000E+03 0.137113E+02
  0.148050E+01 0.166000E+03 0.128841E+02
  0.148950E+01 0.181000E+03 0.134536E+02
  0.149850E+01 0.189000E+03 0.137477E+02
  0.150750E+01 0.236000E+03 0.153623E+02
  0.151650E+01 0.216000E+03 0.146969E+02
  0.152550E+01 0.127000E+03 0.112694E+02
  0.153450E+01 0.610000E+02 0.781025E+01
  0.154350E+01 0.380000E+02 0.616441E+01
  0.155250E+01 0.540000E+02 0.734847E+01
  0.156150E+01 0.117000E+03 0.108167E+02
  0.157050E+01 0.184000E+03 0.135647E+02
  0.157950E+01 0.232000E+03 0.152315E+02
  0.158850E+01 0.205000E+03 0.143178E+02
  0.159750E+01 0.183000E+03 0.135277E+02
  0.160650E+01 0.173000E+03 0.131529E+02
  0.161550E+01 0.150000E+03 0.122474E+02
  0.162450E+01 0.167000E+03 0.129228E+02
  0.163350E+01 0.212000E+03 0.145602E+02
  0.164250E+01 0.270000E+03 0.164317E+02
  0.165150E+01 0.271000E+03 0.164621E+02
  0.166050E+01 0.298000E+03 0.172627E+02
  0.166950E+01 0.259000E+03 0.160935E+02
  0.167850E+01 0.224000E+03 0.149666E+02
  0.168750E+01 0.205000E+03 0.143178E+02
  0.169650E+01 0.233000E+03 0.152643E+02
  0.170550E+01 0.262000E+03 0.161864E+02
  0.171450E+01 0.356000E+03 0.188680E+02
  0.172350E+01 0.365000E+03 0.191050E+02
  0.173250E+01 0.457000E+03 0.213776E+02
  0.174150E+01 0.536000E+03 0.231517E+02
  0.175050E+01 0.720000E+03 0.268328E+02
  0.175950E+01 0.679000E+03 0.260576E+02
  0.176850E+01 0.535000E+03 0.231301E+02
  0.177750E+01 0.410000E+03 0.202485E+02
  0.178650E+01 0.319000E+03 0.178606E+02
  0.179550E+01 0.394000E+03 0.198494E+02
  0.180450E+01 0.417000E+03 0.204206E+02
  0.181350E+01 0.431000E+03 0.207605E+02
  0.182250E+01 0.398000E+03 0.199499E+02
  0.183150E+01 0.289000E+03 0.170000E+02
  0.184050E+01 0.146000E+03 0.120830E+02
  0.184950E+01 0.910000E+02 0.953939E+01
  0.185850E+01 0.141000E+03 0.118743E+02
  0.186750E+01 0.274000E+03 0.165529E+02
  0.187650E+01 0.393000E+03 0.198242E+02
  0.188550E+01 0.450000E+03 0.212132E+02
  0.189450E+01 0.406000E+03 0.201494E+02
  0.190350E+01 0.324000E+03 0.180000E+02
  0.191250E+01 0.259000E+03 0.160935E+02
  0.192150E+01 0.214000E+03 0.146287E+02
  0.193050E+01 0.166000E+03 0.128841E+02
  0.193950E+01 0.152000E+03 0.123288E+02
  0.194850E+01 0.186000E+03 0.136382E+02
  0.195750E+01 0.251000E+03 0.158430E+02
  0.196650E+01 0.379000E+03 0.194679E+02
  0.197550E+01 0.549000E+03 0.234307E+02
  0.198450E+01 0.606000E+03 0.246171E+02
  0.199350E+01 0.558000E+03 0.236220E+02
  0.200250E+01 0.405000E+03 0.201246E+02
  0.201150E+01 0.347000E+03 0.186279E+02
  0.202050E+01 0.320000E+03 0.178885E+02
  0.202950E+01 0.359000E+03 0.189473E+02
  0.203850E+01 0.377000E+03 0.194165E+02
  0.204750E+01 0.350000E+03 0.187083E+02
  0.205650E+01 0.335000E+03 0.183030E+02
  0.206550E+01 0.333000E+03 0.182483E+02
  0.207450E+01 0.295000E+03 0.171756E+02
  0.208350E+01 0.212000E+03 0.145602E+02
  0.209250E+01 0.132000E+03 0.114891E+02
  0.210150E+01 0.140000E+03 0.118322E+02
  0.211050E+01 0.223000E+03 0.149332E+02
  0.211950E+01 0.304000E+03 0.174356E+02
  0.212850E+01 0.324000E+03 0.180000E+02
  0.213750E+01 0.272000E+03 0.164924E+02
  0.214650E+01 0.187000E+03 0.136748E+02
  0.215550E+01 0.242000E+03 0.155563E+02
  0.216450E+01 0.258000E+03 0.160624E+02
  0.217350E+01 0.250000E+03 0.158114E+02
  0.218250E+01 0.272000E+03 0.164924E+02
  0.219150E+01 0.237000E+03 0.153948E+02
  0.220050E+01 0.292000E+03 0.170880E+02
  0.220950E+01 0.275000E+03 0.165831E+02
  0.221850E+01 0.281000E+03 0.167631E+02
  0.222750E+01 0.288000E+03 0.169706E+02
  0.223650E+01 0.294000E+03 0.171464E+02
  0.224550E+01 0.279000E+03 0.167033E+02
  0.225450E+01 0.337000E+03 0.183576E+02
  0.226350E+01 0.413000E+03 0.203224E+02
  0.227250E+01 0.457000E+03 0.213776E+02
  0.228150E+01 0.477000E+03 0.218403E+02
  0.229050E+01 0.506000E+03 0.224944E+02
  0.229950E+01 0.459000E+03 0.214243E+02
  0.230850E+01 0.420000E+03 0.204939E+02
  0.231750E+01 0.438000E+03 0.209284E+02
  0.232650E+01 0.470000E+03 0.216795E+02
  0.233550E+01 0.513000E+03 0.226495E+02
  0.234450E+01 0.461000E+03 0.214709E+02
  0.235350E+01 0.343000E+03 0.185203E+02
  0.236250E+01 0.233000E+03 0.152643E+02
  0.237150E+01 0.188000E+03 0.137113E+02
  0.238050E+01 0.127000E+03 0.112694E+02
  0.238950E+01 0.128000E+03 0.113137E+02
  0.239850E+01 0.125000E+03 0.111803E+02
  0.240750E+01 0.114000E+03 0.106771E+02
  0.241650E+01 0.156000E+03 0.124900E+02
  0.242550E+01 0.305000E+03 0.174642E+02
  0.243450E+01 0.489000E+03 0.221133E+02
  0.244350E+01 0.667000E+03 0.258263E+02
  0.245250E+01 0.629000E+03 0.250799E+02
  0.246150E+01 0.612000E+03 0.247386E+02
  0.247050E+01 0.672000E+03 0.259230E+02
  0.247950E+01 0.813000E+03 0.285132E+02
  0.248850E+01 0.979000E+03 0.312890E+02
  0.249750E+01 0.112000E+04 0.334664E+02
  0.250650E+01 0.106600E+04 0.326497E+02
  0.251550E+01 0.921000E+03 0.303480E+02
  0.252450E+01 0.789000E+03 0.280891E+02
  0.253350E+01 0.662000E+03 0.257294E+02
  0.254250E+01 0.518000E+03 0.227596E+02
  0.255150E+01 0.495000E+03 0.222486E+02
  0.256050E+01 0.583000E+03 0.241454E+02
  0.256950E+01 0.739000E+03 0.271846E+02
  0.257850E+01 0.658000E+03 0.256515E+02
  0.258750E+01 0.514000E+03 0.226716E+02
  0.259650E+01 0.312000E+03 0.176635E+02
  0.260550E+01 0.243000E+03 0.155885E+02
  0.261450E+01 0.220000E+03 0.148324E+02
  0.262350E+01 0.243000E+03 0.155885E+02
  0.263250E+01 0.182000E+03 0.134907E+02
  0.264150E+01 0.159000E+03 0.126095E+02
  0.265050E+01 0.131000E+03 0.114455E+02
  0.265950E+01 0.135000E+03 0.116190E+02
  0.266850E+01 0.960000E+02 0.979796E+01
  0.267750E+01 0.860000E+02 0.927362E+01
  0.268650E+01 0.109000E+03 0.104403E+02
  0.269550E+01 0.128000E+03 0.113137E+02
  0.270450E+01 0.199000E+03 0.141067E+02
  0.271350E+01 0.283000E+03 0.168226E+02
  0.272250E+01 0.375000E+03 0.193649E+02
  0.273150E+01 0.489000E+03 0.221133E+02
  0.274050E+01 0.620000E+03 0.248998E+02
  0.274950E+01 0.685000E+03 0.261725E+02
  0.275850E+01 0.593000E+03 0.243516E+02
  0.276750E+01 0.458000E+03 0.214009E+02
  0.277650E+01 0.396000E+03 0.198997E+02
  0.278550E+01 0.341000E+03 0.184662E+02
  0.279450E+01 0.307000E+03 0.175214E+02
  0.280350E+01 0.290000E+03 0.170294E+02
  0.281250E+01 0.328000E+03 0.181108E+02
  0.282150E+01 0.432000E+03 0.207846E+02
  0.283050E+01 0.559000E+03 0.236432E+02
  0.283950E+01 0.701000E+03 0.264764E+02
  0.284850E+01 0.750000E+03 0.273861E+02
  0.285750E+01 0.713000E+03 0.267021E+02
  0.286650E+01 0.619000E+03 0.248797E+02
  0.287550E+01 0.486000E+03 0.220454E+02
  0.288450E+01 0.342000E+03 0.184932E+02
  0.289350E+01 0.267000E+03 0.163401E+02
  0.290250E+01 0.230000E+03 0.151658E+02
  0.291150E+01 0.265000E+03 0.162788E+02
  0.292050E+01 0.332000E+03 0.182209E+02
  0.292950E+01 0.486000E+03 0.220454E+02
  0.293850E+01 0.561000E+03 0.236854E+02
  0.294750E+01 0.549000E+03 0.234307E+02
  0.295650E+01 0.394000E+03 0.198494E+02
  0.296550E+01 0.246000E+03 0.156844E+02
  0.297450E+01 0.215000E+03 0.146629E+02
  0.298350E+01 0.242000E+03 0.155563E+02
  0.299250E+01 0.302000E+03 0.173781E+02
  0.300150E+01 0.444000E+03 0.210713E+02
  0.301050E+01 0.503000E+03 0.224277E+02
  0.301950E+01 0.594000E+03 0.243721E+02
  0.302850E+01 0.567000E+03 0.238118E+02
  0.303750E+01 0.523000E+03 0.228692E+02
  0.304650E+01 0.392000E+03 0.197990E+02
  0.305550E+01 0.319000E+03 0.178606E+02
  0.306450E+01 0.342000E+03 0.184932E+02
  0.307350E+01 0.395000E+03 0.198746E+02
  0.308250E+01 0.366000E+03 0.191311E+02
  0.309150E+01 0.367000E+03 0.191572E+02
  0.310050E+01 0.326000E+03 0.180555E+02
  0.310950E+01 0.356000E+03 0.188680E+02
  0.311850E+01 0.345000E+03 0.185742E+02
  0.312750E+01 0.446000E+03 0.211187E+02
  0.313650E+01 0.433000E+03 0.208087E+02
  0.314550E+01 0.379000E+03 0.194679E+02
  0.315450E+01 0.369000E+03 0.192094E+02
  0.316350E+01 0.446000E+03 0.211187E+02
  0.317250E+01 0.497000E+03 0.222935E+02
  0.318150E+01 0.656000E+03 0.256125E+02
  0.319050E+01 0.692000E+03 0.263059E+02
  0.319950E+01 0.674000E+03 0.259615E+02
  0.320850E+01 0.549000E+03 0.234307E+02
  0.321750E+01 0.470000E+03 0.216795E+02
  0.322650E+01 0.429000E+03 0.207123E+02
  0.323550E+01 0.433000E+03 0.208087E+02
  0.324450E+01 0.516000E+03 0.227156E+02
  0.325350E+01 0.724000E+03 0.269072E+02
  0.326250E+01 0.738000E+03 0.271662E+02
  0.327150E+01 0.716000E+03 0.267582E+02
  0.328050E+01 0.522000E+03 0.228473E+02
  0.328950E+01 0.428000E+03 0.206882E+02
  0.329850E+01 0.375000E+03 0.193649E+02
  0.330750E+01 0.437000E+03 0.209045E+02
  0.331650E+01 0.573000E+03 0.239374E+02
  0.332550E+01 0.647000E+03 0.254362E+02
  0.333450E+01 0.763000E+03 0.276225E+02
  0.334350E+01 0.800000E+03 0.282843E+02
  0.335250E+01 0.690000E+03 0.262679E+02
  0.336150E+01 0.586000E+03 0.242074E+02
  0.337050E+01 0.575000E+03 0.239792E+02
  0.337950E+01 0.516000E+03 0.227156E+02
  0.338850E+01 0.564000E+03 0.237487E+02
  0.339750E+01 0.636000E+03 0.252190E+02
  0.340650E+01 0.745000E+03 0.272947E+02
  0.341550E+01 0.875000E+03 0.295804E+02
  0.342450E+01 0.683000E+03 0.261343E+02
  0.343350E+01 0.613000E+03 0.247588E+02
  0.344250E+01 0.516000E+03 0.227156E+02
  0.345150E+01 0.515000E+03 0.226936E+02
  0.346050E+01 0.619000E+03 0.248797E+02
  0.346950E+01 0.691000E+03 0.262869E+02
  0.347850E+01 0.736000E+03 0.271293E+02
  0.348750E+01 0.703000E+03 0.265141E+02
  0.349650E+01 0.632000E+03 0.251396E+02
  0.350550E+01 0.589000E+03 0.242693E+02
  0.351450E+01 0.564000E+03 0.237487E+02
  0.352350E+01 0.587000E+03 0.242281E+02
  0.353250E+01 0.617000E+03 0.248395E+02
  0.354150E+01 0.591000E+03 0.243105E+02
  0.355050E+01 0.562000E+03 0.237065E+02
  0.355950E+01 0.628000E+03 0.250599E+02
  0.356850E+01 0.721000E+03 0.268514E+02
  0.357750E+01 0.756000E+03 0.274955E+02
  0.358650E+01 0.768000E+03 0.277128E+02
