#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.900000E+02 0.948683E+01
  0.135000E-01 0.153390E+05 0.123851E+03
  0.225000E-01 0.150760E+05 0.122784E+03
  0.315000E-01 0.456900E+04 0.675944E+02
  0.405000E-01 0.261300E+04 0.511175E+02
  0.495000E-01 0.122875E+06 0.350535E+03
  0.585000E-01 0.215240E+06 0.463940E+03
  0.675000E-01 0.226397E+06 0.475812E+03
  0.765000E-01 0.203171E+06 0.450745E+03
  0.855000E-01 0.138793E+06 0.372549E+03
  0.945000E-01 0.136369E+06 0.369282E+03
  0.103500E+00 0.120706E+06 0.347428E+03
  0.112500E+00 0.110563E+06 0.332510E+03
  0.121500E+00 0.110751E+06 0.332793E+03
  0.130500E+00 0.101396E+06 0.318427E+03
  0.139500E+00 0.104298E+06 0.322952E+03
  0.148500E+00 0.974230E+05 0.312127E+03
  0.157500E+00 0.787590E+05 0.280640E+03
  0.166500E+00 0.835160E+05 0.288991E+03
  0.175500E+00 0.753250E+05 0.274454E+03
  0.184500E+00 0.702410E+05 0.265030E+03
  0.193500E+00 0.688680E+05 0.262427E+03
  0.202500E+00 0.440030E+05 0.209769E+03
  0.211500E+00 0.498630E+05 0.223300E+03
  0.220500E+00 0.467250E+05 0.216160E+03
  0.229500E+00 0.318930E+05 0.178586E+03
  0.238500E+00 0.277490E+05 0.166580E+03
  0.247500E+00 0.361530E+05 0.190139E+03
  0.256500E+00 0.303030E+05 0.174078E+03
  0.265500E+00 0.202970E+05 0.142468E+03
  0.274500E+00 0.214660E+05 0.146513E+03
  0.283500E+00 0.198730E+05 0.140972E+03
  0.292500E+00 0.118640E+05 0.108922E+03
  0.301500E+00 0.121550E+05 0.110250E+03
  0.310500E+00 0.112010E+05 0.105835E+03
  0.319500E+00 0.991900E+04 0.995942E+02
  0.328500E+00 0.109520E+05 0.104652E+03
  0.337500E+00 0.938000E+04 0.968504E+02
  0.346500E+00 0.500800E+04 0.707672E+02
