#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.124000E+03 0.111355E+02
  0.135000E-01 0.340000E+03 0.184391E+02
  0.225000E-01 0.540000E+03 0.232379E+02
  0.315000E-01 0.667000E+03 0.258263E+02
  0.405000E-01 0.180000E+02 0.424264E+01
  0.495000E-01 0.250000E+02 0.500000E+01
  0.585000E-01 0.734000E+03 0.270924E+02
  0.675000E-01 0.746000E+03 0.273130E+02
  0.765000E-01 0.200000E+02 0.447214E+01
  0.855000E-01 0.783000E+03 0.279821E+02
  0.945000E-01 0.779000E+03 0.279106E+02
  0.103500E+00 0.140000E+02 0.374166E+01
  0.112500E+00 0.764000E+03 0.276405E+02
  0.121500E+00 0.737000E+03 0.271477E+02
  0.130500E+00 0.771000E+03 0.277669E+02
  0.139500E+00 0.743000E+03 0.272580E+02
  0.148500E+00 0.762000E+03 0.276043E+02
  0.157500E+00 0.155800E+04 0.394715E+02
  0.166500E+00 0.240000E+02 0.489898E+01
  0.175500E+00 0.770000E+03 0.277489E+02
  0.184500E+00 0.770000E+03 0.277489E+02
  0.193500E+00 0.152400E+04 0.390384E+02
  0.202500E+00 0.731000E+03 0.270370E+02
  0.211500E+00 0.795000E+03 0.281957E+02
  0.220500E+00 0.170000E+02 0.412311E+01
  0.229500E+00 0.270000E+02 0.519615E+01
  0.238500E+00 0.260000E+02 0.509902E+01
  0.247500E+00 0.757000E+03 0.275136E+02
  0.256500E+00 0.290000E+02 0.538516E+01
  0.265500E+00 0.230000E+02 0.479583E+01
  0.274500E+00 0.200000E+02 0.447214E+01
  0.283500E+00 0.190000E+02 0.435890E+01
  0.292500E+00 0.229200E+04 0.478748E+02
  0.301500E+00 0.156700E+04 0.395854E+02
  0.310500E+00 0.260000E+02 0.509902E+01
  0.319500E+00 0.154500E+04 0.393065E+02
  0.328500E+00 0.503000E+03 0.224277E+02
  0.337500E+00 0.340600E+04 0.583609E+02
  0.346500E+00 0.230300E+04 0.479896E+02
  0.355500E+00 0.756000E+03 0.274955E+02
  0.364500E+00 0.150700E+04 0.388201E+02
  0.373500E+00 0.142100E+04 0.376962E+02
  0.382500E+00 0.225200E+04 0.474552E+02
  0.391500E+00 0.170000E+02 0.412311E+01
  0.400500E+00 0.230000E+02 0.479583E+01
  0.409500E+00 0.813000E+03 0.285132E+02
  0.418500E+00 0.150200E+04 0.387556E+02
  0.427500E+00 0.307500E+04 0.554527E+02
  0.436500E+00 0.160000E+02 0.400000E+01
  0.445500E+00 0.140000E+02 0.374166E+01
  0.454500E+00 0.210000E+02 0.458258E+01
  0.463500E+00 0.150600E+04 0.388072E+02
  0.472500E+00 0.150000E+02 0.387298E+01
  0.481500E+00 0.200000E+02 0.447214E+01
  0.490500E+00 0.200000E+02 0.447214E+01
  0.499500E+00 0.811000E+03 0.284781E+02
  0.508500E+00 0.160000E+02 0.400000E+01
  0.517500E+00 0.190000E+02 0.435890E+01
  0.526500E+00 0.120000E+02 0.346410E+01
  0.535500E+00 0.471000E+03 0.217025E+02
  0.544500E+00 0.346000E+03 0.186011E+02
  0.553500E+00 0.210000E+02 0.458258E+01
  0.562500E+00 0.789000E+03 0.280891E+02
  0.571500E+00 0.780000E+03 0.279285E+02
  0.580500E+00 0.154600E+04 0.393192E+02
  0.589500E+00 0.152500E+04 0.390512E+02
  0.598500E+00 0.794000E+03 0.281780E+02
  0.607500E+00 0.749000E+03 0.273679E+02
  0.616500E+00 0.170000E+02 0.412311E+01
  0.625500E+00 0.157100E+04 0.396358E+02
  0.634500E+00 0.310000E+02 0.556776E+01
  0.643500E+00 0.798000E+03 0.282489E+02
  0.652500E+00 0.660000E+02 0.812404E+01
  0.661500E+00 0.851000E+03 0.291719E+02
  0.670500E+00 0.174500E+04 0.417732E+02
  0.679500E+00 0.116500E+04 0.341321E+02
  0.688500E+00 0.708000E+03 0.266083E+02
  0.697500E+00 0.227000E+04 0.476445E+02
  0.706500E+00 0.759000E+03 0.275500E+02
  0.715500E+00 0.240000E+02 0.489898E+01
  0.724500E+00 0.797000E+03 0.282312E+02
  0.733500E+00 0.230000E+02 0.479583E+01
  0.742500E+00 0.736000E+03 0.271293E+02
  0.751500E+00 0.100000E+02 0.316228E+01
  0.760500E+00 0.200000E+02 0.447214E+01
  0.769500E+00 0.230900E+04 0.480521E+02
  0.778500E+00 0.156900E+04 0.396106E+02
  0.787500E+00 0.170000E+02 0.412311E+01
  0.796500E+00 0.779000E+03 0.279106E+02
  0.805500E+00 0.210000E+02 0.458258E+01
  0.814500E+00 0.100000E+02 0.316228E+01
  0.823500E+00 0.230000E+02 0.479583E+01
  0.832500E+00 0.151300E+04 0.388973E+02
  0.841500E+00 0.815000E+03 0.285482E+02
  0.850500E+00 0.816000E+03 0.285657E+02
  0.859500E+00 0.149500E+04 0.386652E+02
  0.868500E+00 0.152900E+04 0.391024E+02
  0.877500E+00 0.130000E+02 0.360555E+01
