#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.200000E+01 0.141421E+01
  0.135000E-01 0.600000E+01 0.244949E+01
  0.225000E-01 0.700000E+01 0.264575E+01
  0.315000E-01 0.800000E+01 0.282843E+01
  0.405000E-01 0.900000E+01 0.300000E+01
  0.495000E-01 0.100000E+02 0.316228E+01
  0.585000E-01 0.100000E+02 0.316228E+01
  0.675000E-01 0.700000E+01 0.264575E+01
  0.765000E-01 0.800000E+01 0.282843E+01
  0.855000E-01 0.800000E+01 0.282843E+01
  0.945000E-01 0.130000E+02 0.360555E+01
  0.103500E+00 0.600000E+01 0.244949E+01
  0.112500E+00 0.130000E+02 0.360555E+01
  0.121500E+00 0.500000E+01 0.223607E+01
  0.130500E+00 0.170000E+02 0.412311E+01
  0.139500E+00 0.200000E+02 0.447214E+01
  0.148500E+00 0.190000E+02 0.435890E+01
  0.157500E+00 0.220000E+02 0.469042E+01
  0.166500E+00 0.150000E+02 0.387298E+01
  0.175500E+00 0.230000E+02 0.479583E+01
  0.184500E+00 0.240000E+02 0.489898E+01
  0.193500E+00 0.280000E+02 0.529150E+01
  0.202500E+00 0.220000E+02 0.469042E+01
  0.211500E+00 0.240000E+02 0.489898E+01
  0.220500E+00 0.170000E+02 0.412311E+01
  0.229500E+00 0.140000E+02 0.374166E+01
  0.238500E+00 0.150000E+02 0.387298E+01
  0.247500E+00 0.170000E+02 0.412311E+01
  0.256500E+00 0.110000E+02 0.331662E+01
  0.265500E+00 0.170000E+02 0.412311E+01
  0.274500E+00 0.170000E+02 0.412311E+01
  0.283500E+00 0.400000E+01 0.200000E+01
  0.292500E+00 0.700000E+01 0.264575E+01
  0.301500E+00 0.120000E+02 0.346410E+01
  0.310500E+00 0.800000E+01 0.282843E+01
  0.319500E+00 0.130000E+02 0.360555E+01
  0.328500E+00 0.140000E+02 0.374166E+01
  0.337500E+00 0.130000E+02 0.360555E+01
  0.346500E+00 0.160000E+02 0.400000E+01
  0.355500E+00 0.160000E+02 0.400000E+01
  0.364500E+00 0.250000E+02 0.500000E+01
  0.373500E+00 0.250000E+02 0.500000E+01
  0.382500E+00 0.170000E+02 0.412311E+01
  0.391500E+00 0.220000E+02 0.469042E+01
  0.400500E+00 0.200000E+02 0.447214E+01
  0.409500E+00 0.210000E+02 0.458258E+01
  0.418500E+00 0.280000E+02 0.529150E+01
  0.427500E+00 0.210000E+02 0.458258E+01
  0.436500E+00 0.280000E+02 0.529150E+01
  0.445500E+00 0.210000E+02 0.458258E+01
  0.454500E+00 0.290000E+02 0.538516E+01
  0.463500E+00 0.250000E+02 0.500000E+01
  0.472500E+00 0.150000E+02 0.387298E+01
  0.481500E+00 0.170000E+02 0.412311E+01
  0.490500E+00 0.120000E+02 0.346410E+01
  0.499500E+00 0.170000E+02 0.412311E+01
  0.508500E+00 0.170000E+02 0.412311E+01
  0.517500E+00 0.140000E+02 0.374166E+01
  0.526500E+00 0.170000E+02 0.412311E+01
  0.535500E+00 0.130000E+02 0.360555E+01
  0.544500E+00 0.210000E+02 0.458258E+01
  0.553500E+00 0.270000E+02 0.519615E+01
  0.562500E+00 0.280000E+02 0.529150E+01
  0.571500E+00 0.270000E+02 0.519615E+01
  0.580500E+00 0.350000E+02 0.591608E+01
  0.589500E+00 0.300000E+02 0.547723E+01
  0.598500E+00 0.310000E+02 0.556776E+01
  0.607500E+00 0.180000E+02 0.424264E+01
  0.616500E+00 0.250000E+02 0.500000E+01
  0.625500E+00 0.170000E+02 0.412311E+01
  0.634500E+00 0.190000E+02 0.435890E+01
  0.643500E+00 0.170000E+02 0.412311E+01
  0.652500E+00 0.140000E+02 0.374166E+01
  0.661500E+00 0.120000E+02 0.346410E+01
  0.670500E+00 0.120000E+02 0.346410E+01
  0.679500E+00 0.100000E+02 0.316228E+01
  0.688500E+00 0.110000E+02 0.331662E+01
  0.697500E+00 0.170000E+02 0.412311E+01
  0.706500E+00 0.190000E+02 0.435890E+01
  0.715500E+00 0.260000E+02 0.509902E+01
  0.724500E+00 0.390000E+02 0.624500E+01
  0.733500E+00 0.440000E+02 0.663325E+01
  0.742500E+00 0.520000E+02 0.721110E+01
  0.751500E+00 0.450000E+02 0.670820E+01
  0.760500E+00 0.460000E+02 0.678233E+01
  0.769500E+00 0.480000E+02 0.692820E+01
  0.778500E+00 0.510000E+02 0.714143E+01
  0.787500E+00 0.300000E+02 0.547723E+01
  0.796500E+00 0.300000E+02 0.547723E+01
  0.805500E+00 0.330000E+02 0.574456E+01
  0.814500E+00 0.300000E+02 0.547723E+01
  0.823500E+00 0.190000E+02 0.435890E+01
  0.832500E+00 0.210000E+02 0.458258E+01
  0.841500E+00 0.250000E+02 0.500000E+01
  0.850500E+00 0.250000E+02 0.500000E+01
  0.859500E+00 0.290000E+02 0.538516E+01
  0.868500E+00 0.260000E+02 0.509902E+01
  0.877500E+00 0.380000E+02 0.616441E+01
  0.886500E+00 0.250000E+02 0.500000E+01
  0.895500E+00 0.270000E+02 0.519615E+01
  0.904500E+00 0.200000E+02 0.447214E+01
  0.913500E+00 0.190000E+02 0.435890E+01
  0.922500E+00 0.800000E+01 0.282843E+01
  0.931500E+00 0.180000E+02 0.424264E+01
  0.940500E+00 0.160000E+02 0.400000E+01
  0.949500E+00 0.180000E+02 0.424264E+01
  0.958500E+00 0.120000E+02 0.346410E+01
  0.967500E+00 0.260000E+02 0.509902E+01
  0.976500E+00 0.140000E+02 0.374166E+01
  0.985500E+00 0.240000E+02 0.489898E+01
  0.994500E+00 0.230000E+02 0.479583E+01
  0.100350E+01 0.230000E+02 0.479583E+01
  0.101250E+01 0.190000E+02 0.435890E+01
  0.102150E+01 0.280000E+02 0.529150E+01
  0.103050E+01 0.250000E+02 0.500000E+01
  0.103950E+01 0.330000E+02 0.574456E+01
  0.104850E+01 0.300000E+02 0.547723E+01
  0.105750E+01 0.240000E+02 0.489898E+01
