#nch:  1000 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.450000E-02 0.630000E+02 0.793725E+01
  0.135000E-01 0.118190E+05 0.108715E+03
  0.225000E-01 0.128510E+05 0.113362E+03
  0.315000E-01 0.409600E+04 0.640000E+02
  0.405000E-01 0.143400E+04 0.378682E+02
  0.495000E-01 0.612020E+05 0.247390E+03
  0.585000E-01 0.202778E+06 0.450309E+03
  0.675000E-01 0.212664E+06 0.461155E+03
  0.765000E-01 0.169459E+06 0.411654E+03
  0.855000E-01 0.140832E+06 0.375276E+03
  0.945000E-01 0.115415E+06 0.339728E+03
  0.103500E+00 0.117490E+06 0.342768E+03
  0.112500E+00 0.115083E+06 0.339239E+03
  0.121500E+00 0.103295E+06 0.321395E+03
  0.130500E+00 0.113253E+06 0.336531E+03
  0.139500E+00 0.108318E+06 0.329117E+03
  0.148500E+00 0.951760E+05 0.308506E+03
  0.157500E+00 0.929820E+05 0.304930E+03
  0.166500E+00 0.890870E+05 0.298474E+03
  0.175500E+00 0.739410E+05 0.271921E+03
  0.184500E+00 0.654570E+05 0.255846E+03
  0.193500E+00 0.556780E+05 0.235962E+03
  0.202500E+00 0.585590E+05 0.241990E+03
  0.211500E+00 0.474630E+05 0.217860E+03
  0.220500E+00 0.335390E+05 0.183137E+03
  0.229500E+00 0.312510E+05 0.176780E+03
  0.238500E+00 0.332550E+05 0.182360E+03
  0.247500E+00 0.299210E+05 0.172977E+03
  0.256500E+00 0.268640E+05 0.163902E+03
  0.265500E+00 0.204770E+05 0.143098E+03
  0.274500E+00 0.170530E+05 0.130587E+03
  0.283500E+00 0.158080E+05 0.125730E+03
  0.292500E+00 0.128780E+05 0.113481E+03
  0.301500E+00 0.102110E+05 0.101049E+03
  0.310500E+00 0.821200E+04 0.906201E+02
  0.319500E+00 0.753400E+04 0.867986E+02
  0.328500E+00 0.715900E+04 0.846109E+02
  0.337500E+00 0.630800E+04 0.794229E+02
  0.346500E+00 0.265400E+04 0.515170E+02
  0.355500E+00 0.213100E+04 0.461628E+02
  0.364500E+00 0.310500E+04 0.557225E+02
  0.373500E+00 0.209700E+04 0.457930E+02
  0.382500E+00 0.231600E+04 0.481248E+02
  0.391500E+00 0.220700E+04 0.469787E+02
  0.400500E+00 0.187900E+04 0.433474E+02
  0.409500E+00 0.194600E+04 0.441135E+02
  0.418500E+00 0.117400E+04 0.342637E+02
  0.427500E+00 0.228000E+04 0.477493E+02
  0.436500E+00 0.754000E+03 0.274591E+02
  0.445500E+00 0.152200E+04 0.390128E+02
  0.454500E+00 0.143500E+04 0.378814E+02
  0.463500E+00 0.577000E+03 0.240208E+02
  0.472500E+00 0.991000E+03 0.314802E+02
  0.481500E+00 0.613000E+03 0.247588E+02
  0.490500E+00 0.396000E+03 0.198997E+02
  0.499500E+00 0.577000E+03 0.240208E+02
  0.508500E+00 0.601000E+03 0.245153E+02
  0.517500E+00 0.733000E+03 0.270740E+02
  0.526500E+00 0.618000E+03 0.248596E+02
  0.535500E+00 0.234000E+03 0.152971E+02
  0.544500E+00 0.189000E+03 0.137477E+02
  0.553500E+00 0.186000E+03 0.136382E+02
  0.562500E+00 0.583000E+03 0.241454E+02
  0.571500E+00 0.572000E+03 0.239165E+02
  0.580500E+00 0.195000E+03 0.139642E+02
  0.589500E+00 0.199000E+03 0.141067E+02
  0.598500E+00 0.211000E+03 0.145258E+02
  0.607500E+00 0.230000E+02 0.479583E+01
  0.616500E+00 0.209000E+03 0.144568E+02
  0.625500E+00 0.220000E+03 0.148324E+02
  0.634500E+00 0.553000E+03 0.235160E+02
  0.643500E+00 0.408000E+03 0.201990E+02
  0.652500E+00 0.234000E+03 0.152971E+02
  0.661500E+00 0.162000E+03 0.127279E+02
  0.670500E+00 0.170000E+02 0.412311E+01
  0.679500E+00 0.320000E+02 0.565685E+01
  0.688500E+00 0.575000E+03 0.239792E+02
  0.697500E+00 0.230000E+03 0.151658E+02
  0.706500E+00 0.190000E+02 0.435890E+01
  0.715500E+00 0.211000E+03 0.145258E+02
  0.724500E+00 0.397000E+03 0.199249E+02
  0.733500E+00 0.202000E+03 0.142127E+02
  0.742500E+00 0.211000E+03 0.145258E+02
  0.751500E+00 0.170000E+03 0.130384E+02
  0.760500E+00 0.230000E+03 0.151658E+02
  0.769500E+00 0.189000E+03 0.137477E+02
  0.778500E+00 0.231000E+03 0.151987E+02
  0.787500E+00 0.224000E+03 0.149666E+02
  0.796500E+00 0.371000E+03 0.192614E+02
  0.805500E+00 0.160000E+02 0.400000E+01
  0.814500E+00 0.207000E+03 0.143875E+02
  0.823500E+00 0.150000E+02 0.387298E+01
  0.832500E+00 0.216000E+03 0.146969E+02
  0.841500E+00 0.160000E+02 0.400000E+01
  0.850500E+00 0.250000E+02 0.500000E+01
  0.859500E+00 0.197000E+03 0.140357E+02
  0.868500E+00 0.216000E+03 0.146969E+02
  0.877500E+00 0.250000E+02 0.500000E+01
  0.886500E+00 0.441000E+03 0.210000E+02
  0.895500E+00 0.208000E+03 0.144222E+02
  0.904500E+00 0.387000E+03 0.196723E+02
  0.913500E+00 0.140000E+02 0.374166E+01
  0.922500E+00 0.250000E+02 0.500000E+01
  0.931500E+00 0.210000E+03 0.144914E+02
  0.940500E+00 0.269000E+03 0.164012E+02
  0.949500E+00 0.184000E+03 0.135647E+02
  0.958500E+00 0.243000E+03 0.155885E+02
  0.967500E+00 0.484000E+03 0.220000E+02
  0.976500E+00 0.476000E+03 0.218174E+02
  0.985500E+00 0.232000E+03 0.152315E+02
  0.994500E+00 0.161000E+03 0.126886E+02
  0.100350E+01 0.227000E+03 0.150665E+02
  0.101250E+01 0.474000E+03 0.217715E+02
  0.102150E+01 0.100000E+03 0.100000E+02
  0.103050E+01 0.170000E+02 0.412311E+01
  0.103950E+01 0.123000E+03 0.110905E+02
  0.104850E+01 0.114000E+03 0.106771E+02
  0.105750E+01 0.300000E+03 0.173205E+02
  0.106650E+01 0.408000E+03 0.201990E+02
  0.107550E+01 0.860000E+02 0.927362E+01
  0.108450E+01 0.190000E+02 0.435890E+01
  0.109350E+01 0.195000E+03 0.139642E+02
  0.110250E+01 0.180000E+02 0.424264E+01
  0.111150E+01 0.179000E+03 0.133791E+02
  0.112050E+01 0.210000E+02 0.458258E+01
  0.112950E+01 0.140000E+02 0.374166E+01
  0.113850E+01 0.120000E+02 0.346410E+01
  0.114750E+01 0.150000E+02 0.387298E+01
  0.115650E+01 0.170000E+02 0.412311E+01
  0.116550E+01 0.900000E+01 0.300000E+01
  0.117450E+01 0.366000E+03 0.191311E+02
  0.118350E+01 0.826000E+03 0.287402E+02
  0.119250E+01 0.170000E+02 0.412311E+01
  0.120150E+01 0.160000E+02 0.400000E+01
  0.121050E+01 0.396000E+03 0.198997E+02
  0.121950E+01 0.420000E+03 0.204939E+02
  0.122850E+01 0.240000E+02 0.489898E+01
  0.123750E+01 0.340000E+02 0.583095E+01
  0.124650E+01 0.280000E+03 0.167332E+02
  0.125550E+01 0.471000E+03 0.217025E+02
  0.126450E+01 0.250000E+02 0.500000E+01
  0.127350E+01 0.415000E+03 0.203715E+02
  0.128250E+01 0.239000E+03 0.154596E+02
  0.129150E+01 0.562000E+03 0.237065E+02
  0.130050E+01 0.150000E+02 0.387298E+01
  0.130950E+01 0.189000E+03 0.137477E+02
  0.131850E+01 0.173000E+03 0.131529E+02
  0.132750E+01 0.189000E+03 0.137477E+02
  0.133650E+01 0.194000E+03 0.139284E+02
  0.134550E+01 0.180000E+02 0.424264E+01
  0.135450E+01 0.207000E+03 0.143875E+02
  0.136350E+01 0.150000E+02 0.387298E+01
  0.137250E+01 0.120000E+02 0.346410E+01
  0.138150E+01 0.409000E+03 0.202237E+02
  0.139050E+01 0.348000E+03 0.186548E+02
  0.139950E+01 0.396000E+03 0.198997E+02
  0.140850E+01 0.228000E+03 0.150997E+02
  0.141750E+01 0.580000E+03 0.240832E+02
  0.142650E+01 0.150000E+02 0.387298E+01
  0.143550E+01 0.391000E+03 0.197737E+02
  0.144450E+01 0.214000E+03 0.146287E+02
  0.145350E+01 0.221000E+03 0.148661E+02
